month,currency,rate
2010-01-01,USD,1.6133
2010-01-09,USD,1.6024
2010-07-29,USD,1.5612
2011-01-29,USD,1.5927
2011-07-29,USD,1.6368
2011-08-04,USD,1.6434
2012-09-27,USD,1.5553
2014-11-25,USD,1.5697
2015-02-25,USD,1.512
2015-05-25,USD,1.504
2015-08-25,USD,1.5634
2015-09-25,USD,1.5648
2015-11-25,USD,1.546
2015-12-28,USD,1.521
2016-02-25,USD,1.393
2016-02-26,USD,1.3966
2016-03-28,USD,1.4131
2016-03-29,USD,1.4263
2016-05-25,USD,1.4613
2016-05-26,USD,1.4698
2016-06-27,USD,1.3451
2016-06-28,USD,1.3235
2016-07-28,USD,1.3238
2016-08-25,USD,1.3235
2016-08-26,USD,1.3194
2016-09-26,USD,1.2979
2016-09-27,USD,1.2969
2016-11-25,USD,1.2453
2016-11-28,USD,1.2481
2016-12-27,USD,1.2276
2016-12-28,USD,1.2276
2017-02-27,USD,1.2400
2017-03-27,USD,1.2515
2017-05-25,USD,1.2933
2017-06-26,USD,1.2743
2017-07-28,USD,1.3077
2017-08-25,USD,1.2804
2017-08-26,USD,1.2905
2017-09-25,USD,1.3507
2017-11-27,USD,1.3324
2017-11-29,USD,1.3365
2017-12-26,USD,1.3376
2017-12-28,USD,1.3404
2018-03-26,USD,1.4148
2018-05-10,USD,1.3545
2018-06-25,USD,1.3262
2018-09-25,USD,1.3117
2018-11-29,USD,1.2824
2018-12-26,USD,1.2689
2019-03-25,USD,1.3207
2019-06-25,USD,1.2740
2019-09-25,USD,1.2486
2019-12-26,USD,1.2974
2021-08-25,USD,1.3674
2021-09-25,USD,1.3757
2021-10-25,USD,1.3646
2021-11-25,USD,1.3815
2021-12-25,USD,1.3465
2022-01-25,USD,1.3215
2022-02-25,USD,1.3629
2022-03-25,USD,1.3579
2022-04-25,USD,1.3212
2022-05-02,USD,1.3048
2022-05-09,USD,1.3048
2022-05-16,USD,1.3048
2022-05-23,USD,1.3048
2022-05-31,USD,1.3048
2022-06-06,USD,1.2471
2022-06-13,USD,1.2471
2022-06-21,USD,1.2471
2022-06-27,USD,1.2471
2022-07-05,USD,1.2309
2022-07-11,USD,1.2309
2022-07-18,USD,1.2309
2022-07-25,USD,1.2309
2023-03-25,USD,1.2002
2023-04-25,USD,1.2231
2023-05-25,USD,1.2450
2023-06-25,USD,1.2366
2023-07-25,USD,1.2732
2023-08-01,USD,1.2886
2023-08-25,USD,1.2886
2023-09-25,USD,1.2631
2023-10-25,USD,1.2367
2023-11-27,USD,1.2188
2023-12-26,USD,1.2536
2024-01-25,USD,1.2651
2024-02-26,USD,1.2690
2024-03-25,USD,1.2614
2024-04-25,USD,1.2693
2024-05-25,USD,1.2457
2024-06-25,USD,1.2709
2024-07-25,USD,1.2732
2024-08-25,USD,1.3033
2024-09-25,USD,1.3032
2024-10-25,USD,1.3211
2024-11-25,USD,1.2952
2024-12-25,USD,1.2662
